Image Name,Face,Asian,Indian,Black,White,Middle Eastern,Latino Hispanic
as1.jpg (Face 1),Face 1,99.99601841020365,0.0004327812287324366,4.930100184357715e-07,0.0004152018351111702,1.427763292810673e-07,0.0031264669725785286
as1.jpg (Face 2),Face 2,0.23301071487367153,0.10057564359158278,0.007026389357633889,90.00166654586792,3.9778005331754684,5.679921433329582
as2.jpg (Face 1),Face 1,99.98713731765747,0.0013238734936749097,3.505863377384344e-07,8.349321660716669e-05,1.1751075112975684e-08,0.011458191875135526
as3.jpg (Face 1),Face 1,4.83805388212204,14.414411783218384,15.047451853752136,11.993338167667389,18.27867031097412,35.42807400226593
bl1.jpg (Face 1),Face 1,14.127470552921295,10.551363229751587,49.89514946937561,2.8589295223355293,1.5239478088915348,21.043139696121216
bl2.jpg (Face 1),Face 1,15.572917461395264,15.7624751329422,35.320162773132324,5.619853362441063,5.980385467410088,21.74420803785324
bl3.jpg (Face 1),Face 1,0.005950139548170508,0.019036723010520874,99.96733665855686,2.842532980979301e-05,1.2160243983209967e-05,0.007631297012040375
bl4.jpg (Face 1),Face 1,1.8354363168215926e-10,1.6513209202817514e-09,100.0,1.1111242544461453e-15,2.548390438862556e-15,3.3225952371374046e-10
bl5.jpg (Face 1),Face 1,8.04714635014534,4.388577863574028,79.46093082427979,0.1640052068978548,0.08945588488131762,7.849884778261185
bl6.jpg (Face 1),Face 1,22.419491410255432,2.8358139097690582,6.085298955440521,52.23703980445862,9.309595078229904,7.112756371498108
in1.jpg (Face 1),Face 1,0.010276162126426354,0.00383379965797193,0.00010204216857789208,98.7216530706469,1.118287298028147,0.14585452728846995
in1.jpg (Face 2),Face 2,1.9691310134012112,70.7871121637292,22.080062155727276,0.07598086247479095,0.03552498158402631,5.052197280657129
in1.jpg (Face 3),Face 3,27.27534770965576,0.8408973924815655,0.13649242464452982,45.3124076128006,12.924790382385254,13.510070741176605
in2.jpg (Face 1),Face 1,4.7187901911917235e-05,99.39827915419812,0.012312584300996172,0.018384420768453674,0.05291954463985828,0.5180601339376053
in3.jpg (Face 1),Face 1,0.01576374052092433,99.11933541297913,0.31522444915026426,0.005281238918541931,0.002950956877612043,0.5414464976638556
in4.jpg (Face 1),Face 1,0.795542448759079,87.74567246437073,2.77996975928545,0.5467800423502922,0.7472617086023092,7.384774833917618
la1.jpg (Face 1),Face 1,1.91626981392739,40.7239098219764,6.365735842673283,6.559052355176491,19.304942405813026,25.130099073660265
la2.jpg (Face 1),Face 1,57.45149850845337,7.440949231386185,0.7699812296777964,0.6359734106808901,0.14231359818950295,33.55928659439087
la3.jpg (Face 1),Face 1,5.968780815601349,32.235267758369446,5.266840383410454,6.073024123907089,4.931404069066048,45.52468657493591
la4.jpg (Face 1),Face 1,29.468926787376404,10.014022141695023,5.12966550886631,12.615031003952026,6.634917855262756,36.13743484020233
la5.jpg (Face 1),Face 1,10.228606042695766,53.14766802163935,14.467942949288243,2.726044830804447,3.3339701842034084,16.095774304363047
na1.jpg (Face 1),Face 1,1.1435933411121368,2.8876841068267822,0.6502087228000164,27.67696976661682,57.73135423660278,9.910190105438232
un1.jpg (Face 1),Face 1,20.333720465524223,13.04433870579831,25.129698224645747,8.276665704051597,7.062755946085211,26.15282095389491
wh1.jpg (Face 1),Face 1,0.01886377140181139,0.06386855966411531,0.0027402018531574868,86.44102811813354,7.532092928886414,5.941404029726982
wh2.jpg (Face 1),Face 1,7.473693788051605,3.1944923102855682,1.0385844856500626,41.76896512508392,17.642445862293243,28.881821036338806
wh3.jpg (Face 1),Face 1,1.1958799228661832e-08,2.127086728975769e-07,7.840969627054273e-11,99.93602633476257,0.02971135836560279,0.03425952163524926
wh4.jpg (Face 1),Face 1,1.716178487679778,4.729332221070793,0.9036312025643829,33.12287725482908,14.215716924156776,45.312266983064056
